latency_ms,throughput_mbps,packet_loss_rate,tx_packets,rx_packets,jitter_ms,queue_delay_ms,target_cost
161.085,182.629,0.035342,10095,9738,22.471,62.202,218.2424
11.281,865.068,0.0143,7726,7615,3.913,8.827,63.4778
115.25,203.596,0.041621,1610,1542,16.243,58.009,224.1858
52.833,597.136,0.004253,16435,16365,1.078,17.329,41.611
311.539,39.849,0.366014,2702,1713,40.832,168.131,1622.2978
289.031,395.633,0.099355,4503,4055,24.465,99.727,532.9778
36.491,820.313,0.002611,32063,31979,3.817,8.208,26.682
210.21,145.678,0.070636,11880,11040,31.424,115.154,389.6588
260.309,317.135,0.057103,6128,5778,36.049,103.713,353.2782
26.799,583.306,0.013954,11237,11080,0.273,9.536,68.4428
476.268,69.411,0.462334,507,272,50.0,142.2,2068.2832
58.377,671.707,0.001918,38573,38499,2.078,14.03,33.8288
25.725,974.011,0.005618,49293,49016,4.117,14.418,35.6456
15.032,573.757,0.007252,45812,45479,2.61,6.413,36.3034
291.666,309.773,0.058282,14712,13854,38.276,122.662,374.3268
221.772,318.273,0.072814,11324,10499,31.864,138.24,407.6128
469.985,49.538,0.537732,222,102,50.0,132.819,2365.4858
43.656,449.612,0.010695,11249,11128,4.911,18.383,63.919
14.925,576.26,0.001751,34223,34163,3.162,8.522,14.6784
24.774,937.301,0.005647,21268,21147,3.536,7.1,33.9176
42.658,649.378,0.012852,7022,6931,4.406,4.411,69.3534
18.732,826.837,0.00849,37077,36762,0.898,12.648,43.9824
14.977,485.951,0.018311,7009,6880,0.609,10.61,81.3568
298.852,16.03,0.93595,570,36,50.0,166.786,3896.698
5.755,816.277,0.001487,18697,18669,3.758,4.238,9.0976
32.74,651.877,0.004969,45288,45062,3.326,17.555,36.483
21.625,824.811,0.002332,46803,46693,4.559,9.818,19.9416
58.125,588.042,0.005901,28067,27901,4.809,12.347,49.3234
24.341,746.751,0.001941,12092,12068,1.994,11.125,19.7254
12.001,652.268,0.013131,45338,44742,2.966,8.122,58.9488
9.343,941.666,0.009987,42452,42028,3.481,12.405,46.1662
51.147,735.007,0.026401,15284,14880,3.039,9.386,127.94
296.387,394.284,0.096815,3398,3069,24.724,113.066,528.428
255.255,289.835,0.130804,1912,1661,18.843,86.419,642.6018
467.717,72.879,0.409923,2403,1417,50.0,176.196,1862.018
361.316,38.804,0.313739,3692,2533,50.0,120.134,1423.5092
364.051,29.571,0.560645,1413,620,50.0,197.71,2427.7424
126.11,137.984,0.074634,1452,1343,21.007,61.607,361.3014
479.179,30.192,0.923059,542,41,50.0,106.2,3905.1476
44.805,793.938,0.013348,27925,27552,1.999,13.121,73.9382
430.008,48.457,0.833366,4145,690,50.0,176.168,3540.7008
45.805,747.179,0.009086,43514,43118,3.725,16.709,58.0078
137.125,251.3,0.077986,16809,15498,21.706,67.991,380.3922
176.082,396.576,0.034374,15443,14912,31.676,119.539,231.8366
16.766,859.425,0.019231,34327,33666,4.967,0.004,83.6312
99.365,339.269,0.054562,6788,6417,12.318,103.02,278.598
24.898,950.347,0.000635,18248,18236,3.112,2.997,13.0986
227.743,241.647,0.097298,6612,5968,27.924,71.295,494.5482
27.794,777.859,0.001621,20989,20954,1.016,13.752,20.352
13.799,418.684,0.010269,13272,13135,0.474,15.57,49.7096
33.034,693.908,0.007747,26708,26501,3.699,19.598,48.1212
36.07,596.099,0.015884,30747,30258,5.216,15.057,80.9754
169.179,326.451,0.058192,2816,2652,21.157,119.075,324.2546
11.616,854.313,0.002442,33533,33451,1.126,16.451,17.7046
48.53,632.856,0.01272,39168,38669,3.653,5.47,71.386
57.1,520.511,0.005713,37178,36965,5.41,15.639,48.8198
127.712,280.815,0.066334,715,667,16.28,104.734,337.3676
27.594,924.164,0.017088,8371,8227,5.118,12.008,81.7912
29.674,653.129,0.005536,34041,33852,4.337,17.119,37.4374
25.148,629.713,0.00639,29311,29123,2.112,15.262,38.6716
324.8,53.354,0.870555,4702,608,50.0,171.435,3646.427
52.05,459.613,0.008924,28506,28251,0.823,5.518,57.6196
278.492,18.135,0.693387,3994,1224,46.303,134.032,2911.7512
59.094,810.034,0.005928,18369,18260,4.359,0.646,47.4788
155.414,276.118,0.049663,18472,17554,21.676,80.408,276.8992
45.314,926.731,0.007484,41154,40846,0.997,12.911,50.6438
40.585,426.578,0.015946,26731,26304,5.234,8.609,81.7398
36.639,454.05,0.007236,8231,8171,3.107,5.251,44.6498
294.685,188.048,0.060514,2336,2194,37.903,86.106,377.1512
51.637,606.331,0.022035,36265,35465,2.014,15.317,111.8582
436.303,61.479,0.891814,1571,169,50.0,199.8,3781.7372
50.77,548.955,0.000794,9982,9974,3.28,3.57,24.198
91.465,375.873,0.073491,1991,1844,9.68,100.454,350.6408
19.757,839.841,0.006157,31230,31037,5.009,5.437,33.6182
58.015,592.701,0.007903,7444,7385,5.146,3.501,55.5182
296.798,14.807,0.822921,4958,877,47.82,167.341,3443.8714
31.165,964.401,0.006399,48097,47789,4.694,3.623,38.7866
20.715,563.029,0.003734,20155,20079,2.122,3.056,23.8332
7.503,908.951,0.004491,49949,49724,1.582,1.73,21.3112
365.856,37.919,0.315272,1370,938,50.0,173.878,1442.206
30.906,992.42,0.000743,19138,19123,0.508,1.209,15.5762
434.704,53.774,0.722081,1447,402,50.0,112.825,3084.7706
38.929,551.645,0.000989,8564,8555,4.646,18.647,23.257
37.038,488.856,0.002266,7614,7596,4.865,4.202,24.7196
202.467,351.126,0.04449,4906,4687,21.373,88.908,276.7284
298.228,194.175,0.036678,10726,10332,31.762,141.039,294.211
34.867,794.866,0.004019,31102,30977,4.993,5.986,31.22
42.035,990.499,0.001442,12161,12143,1.664,3.804,23.3428
48.331,775.035,0.008509,22408,22217,4.616,1.428,53.654
318.444,50.247,0.504323,556,275,50.0,172.241,2179.1178
439.755,70.704,0.457184,2286,1240,50.0,153.241,2035.2862
31.117,736.801,0.008724,27675,27433,2.54,18.09,50.9608
33.093,433.263,0.019103,11743,11518,4.802,13.482,92.3456
12.346,491.911,0.009231,40994,40615,4.687,15.147,44.8918
115.597,210.749,0.067748,15696,14632,26.217,137.42,344.7148
355.768,60.519,0.867696,1536,203,50.0,142.602,3641.6116
10.359,795.346,3.6e-05,24135,24134,2.842,7.478,5.7832
454.781,39.103,0.38563,2866,1760,50.0,104.468,1745.326
20.004,943.184,0.002023,19551,19511,4.284,17.693,19.6322
130.535,194.094,0.070343,975,906,26.127,123.618,358.3096
50.284,444.25,0.015516,49571,48801,3.09,2.567,82.691
14.309,609.83,0.007641,33866,33607,0.367,16.363,39.5602
12.381,702.528,0.00175,35075,35013,3.365,14.372,14.8268
185.376,64.028,0.0747,12211,11298,16.118,55.503,384.051
15.315,958.13,0.005361,27146,27000,0.692,8.289,29.2278
17.333,991.08,0.015902,28651,28195,2.943,7.378,72.0168
250.617,100.153,0.077005,4848,4474,21.635,53.655,418.9978
18.335,801.9,0.005574,32086,31907,1.835,9.448,31.5196
203.118,85.831,0.067531,9782,9121,26.638,67.127,364.7966
46.701,427.533,0.010575,28430,28129,4.94,19.102,64.8008
93.526,126.164,0.038223,506,486,24.818,116.088,213.52
50.768,699.025,0.00994,36621,36256,5.409,4.875,61.0422
47.962,561.259,0.023073,42791,41803,3.617,9.923,113.4614
239.544,147.481,0.080602,13614,12516,24.099,116.668,441.5592
47.147,478.629,0.009017,45942,45527,4.517,3.311,55.589
450.597,4.383,0.727517,3547,966,50.0,167.756,3123.858
428.342,52.829,0.663845,2432,817,50.0,188.578,2864.4324
419.652,4.713,0.972786,1496,40,49.523,105.85,4080.1748
495.949,9.981,0.559336,1590,700,50.0,122.152,2460.154
42.466,482.48,0.014801,36175,35639,2.812,3.989,76.9882
414.502,26.354,0.330693,3721,2490,50.0,173.155,1523.2038
122.477,58.295,0.032862,4490,4342,25.285,61.998,192.8384
476.092,10.079,0.656229,2921,1004,50.0,172.462,2849.8452
32.477,756.358,0.003235,28947,28853,3.057,3.455,26.6218
38.046,876.77,0.017789,22335,21937,1.219,13.712,89.1168
10.554,571.656,0.00893,30103,29834,3.379,11.44,42.2296
25.272,849.407,0.004026,29344,29225,0.794,4.676,27.148
22.768,777.499,0.000862,18023,18007,2.03,1.042,12.7636
30.317,583.115,0.01694,9549,9387,5.138,5.582,81.0032
8.804,908.673,0.009195,24846,24617,1.298,13.173,42.9362
48.137,879.293,0.002638,30398,30317,2.564,15.762,32.9592
358.09,64.508,0.517071,4953,2391,48.242,166.552,2244.8304
378.281,52.136,0.550421,4791,2153,50.0,177.55,2388.5064
23.204,655.822,0.00333,17215,17157,3.434,8.643,24.3302
17.656,532.13,0.000661,7058,7053,4.475,1.417,9.9898
228.127,292.628,0.141551,3021,2593,18.594,77.594,672.9736
56.724,820.418,0.002082,9180,9160,5.251,9.464,32.9104
260.11,27.34,0.624467,1846,693,50.0,171.364,2636.1848
333.915,23.971,0.530033,868,407,50.0,178.919,2289.4818
356.526,37.404,0.586267,4085,1690,50.0,138.237,2515.3258
26.355,421.191,0.008962,19572,19396,3.695,12.766,48.9432
275.908,100.729,0.120973,4969,4367,27.95,69.415,608.1382
22.924,568.18,0.013454,18094,17850,3.19,10.913,65.1682
20.024,852.966,0.001582,49465,49386,3.166,10.539,16.4454
10.848,938.126,0.003364,31818,31710,0.643,12.217,20.2386
16.585,605.728,0.004858,21457,21352,4.693,16.922,29.4504
412.156,51.979,0.605052,4422,1746,50.0,130.092,2611.0888
131.807,207.842,0.044973,3309,3160,11.797,63.32,245.2788
5.07,631.562,0.010455,40784,40357,1.927,16.576,47.1632
31.517,861.203,0.002352,42756,42655,0.804,2.678,22.5504
22.824,789.146,0.015866,10976,10801,0.799,8.988,74.3912
295.861,45.489,0.575486,367,155,47.058,187.054,2457.6992
8.314,936.531,0.019323,16795,16470,3.928,15.317,83.681
220.063,203.996,0.073946,15909,14732,21.208,120.596,407.9284
160.43,266.697,0.078121,2695,2484,24.237,127.358,402.1276
27.057,435.181,0.002727,32722,32632,3.754,14.61,24.6528
49.743,505.053,0.011801,46401,45853,1.409,2.697,67.6406
433.58,76.592,0.698411,1741,525,50.0,180.156,3003.1072
312.163,34.219,0.697975,4523,1366,42.652,104.509,2937.667
279.436,24.394,0.562122,2418,1058,50.0,179.12,2396.0864
22.688,562.261,0.000258,23411,23404,0.52,19.831,14.0734
27.64,697.281,0.010414,7404,7326,2.551,6.29,53.97
28.753,846.753,0.00976,41804,41395,3.096,13.4,53.2212
190.824,375.614,0.146164,17880,15266,23.2,76.041,676.1938
458.738,59.995,0.8758,4624,574,50.0,158.568,3718.4088
53.097,784.946,0.018759,44997,44152,3.781,8.802,98.0352
23.673,599.841,0.002018,38420,38342,1.206,15.525,20.6462
298.08,306.717,0.071792,3711,3444,28.953,74.051,421.2102
295.313,88.394,0.102257,19838,17809,27.651,81.813,543.5158
469.57,16.868,0.653374,2617,907,50.0,194.541,2840.2322
112.548,348.831,0.062837,12013,11258,16.789,94.558,315.2788
275.298,66.516,0.39607,919,555,48.867,121.024,1718.604
48.38,746.833,0.015382,7189,7078,1.958,6.374,82.1548
49.11,895.362,0.00847,10365,10277,3.119,10.563,55.6366
26.919,660.695,0.006332,17983,17869,2.708,13.045,38.7046
225.661,221.588,0.054416,18411,17409,16.636,126.396,333.2076
455.577,62.65,0.582668,3333,1390,50.0,175.781,2548.059
56.763,659.109,0.007382,45541,45204,2.045,4.929,53.219
7.797,959.429,0.00644,42530,42256,2.829,1.458,29.1704
127.425,338.431,0.118016,5282,4658,11.947,147.613,552.5566
138.027,159.554,0.126561,5456,4765,23.015,142.285,589.9118
148.919,392.481,0.075764,9125,8433,24.705,126.156,387.8548
36.932,990.13,0.00038,25557,25547,2.551,19.685,20.2298
282.422,121.89,0.142265,3474,2979,22.032,124.62,706.9528
395.887,77.73,0.668211,4685,1554,50.0,192.041,2869.607
281.781,56.892,0.39057,4214,2568,50.0,111.806,1697.3536
13.158,475.715,0.007437,29962,29739,5.105,10.611,37.1334
7.624,459.385,0.003594,46278,46111,0.558,14.892,20.404
285.535,47.17,0.334056,2509,1670,50.0,121.558,1474.7496
22.836,860.988,0.000318,31290,31280,1.567,4.22,11.2504
7.167,697.813,0.019198,12237,12002,4.248,13.38,82.3348
292.039,11.523,0.478888,744,387,43.761,195.216,2071.4108
179.758,398.337,0.077808,11097,10233,19.135,128.073,408.7498
20.92,471.991,0.00721,39903,39615,3.728,10.005,39.209
194.986,286.782,0.040055,3833,3679,29.578,139.243,266.063
231.637,322.94,0.03781,11426,10993,30.219,90.061,261.907
21.135,624.905,0.001675,16800,16771,1.061,1.579,15.4698
40.834,592.188,0.002863,40256,40140,3.074,12.539,30.2934
205.959,332.914,0.034832,16974,16382,31.527,116.739,245.0594
324.909,46.956,0.697304,273,82,50.0,115.369,2942.2534
276.253,237.939,0.043418,2335,2233,35.515,79.934,300.16
40.953,815.661,0.001964,31569,31506,3.84,18.462,27.9296
34.972,532.264,0.004462,27298,27176,1.739,4.306,32.698
9.043,560.783,0.005793,10997,10933,0.116,6.165,28.0222
21.517,742.292,0.011694,26279,25971,4.18,3.458,56.0744
12.298,535.715,0.024744,12903,12583,5.064,8.446,105.5844
52.896,771.826,0.003194,21733,21663,3.863,17.978,37.53
27.506,741.642,0.015241,16819,16562,4.17,9.752,73.9168
264.963,168.703,0.055402,13265,12530,21.996,61.684,339.93
134.196,147.207,0.131734,12550,10896,28.137,52.107,591.0358
473.817,56.264,0.833726,4418,734,50.0,187.672,3561.9652
9.929,732.532,0.004801,5808,5780,1.559,7.756,24.7268
49.133,920.93,0.001671,14283,14259,4.363,16.93,29.7232
18.565,736.821,0.002796,31175,31087,1.996,19.947,22.5994
33.353,596.78,0.01389,24610,24268,3.302,10.146,70.9304
223.847,233.092,0.097934,2860,2579,16.93,64.159,494.1066
53.555,500.086,0.002656,15366,15325,3.205,11.998,34.4456
55.991,991.377,0.01355,34985,34510,4.998,8.551,78.3066
298.63,251.084,0.0696,1636,1522,33.243,147.802,427.4124
57.36,540.921,0.012094,45060,44515,4.822,1.457,71.6114
93.174,120.227,0.082062,10339,9490,26.541,91.026,383.7228
8.129,899.018,0.000375,45305,45288,3.052,7.69,6.2896
44.665,570.952,0.026169,24768,24119,1.474,12.139,124.9698
6.71,642.635,0.003677,35280,35150,0.577,15.876,20.5672
252.116,157.898,0.086581,3344,3054,27.547,73.764,461.9232
7.981,711.064,0.008433,8382,8311,1.098,10.984,39.1212
50.855,582.325,0.001409,26118,26081,2.833,8.843,27.7466
38.564,656.9,0.005011,8890,8845,3.236,10.646,37.5988
52.708,789.647,0.003548,11527,11486,5.046,9.693,37.2138
43.922,715.237,0.016411,15444,15190,2.519,10.741,85.361
259.061,256.84,0.099927,18343,16510,31.836,67.309,516.7942
195.079,194.211,0.109996,6398,5694,29.098,111.205,540.2566
461.133,49.747,0.49772,716,359,50.0,112.91,2197.9152
12.442,648.136,0.010181,18233,18047,4.537,1.804,46.0616
34.583,990.298,0.000592,8230,8225,1.295,8.791,17.9594
56.344,941.491,0.008283,26197,25980,3.606,11.263,57.9222
412.741,9.98,0.508573,52,25,50.0,198.295,2239.0474
15.576,441.733,0.005701,20256,20140,4.488,7.603,30.555
470.775,0.156,0.59898,434,174,50.0,132.3,2610.69
422.952,69.502,0.976063,4940,118,50.0,130.28,4099.4888
37.097,966.581,0.001301,14881,14861,1.058,4.006,20.844
24.925,492.867,0.012593,32758,32345,3.073,12.238,62.7896
409.036,73.681,0.834158,4821,799,50.0,153.547,3530.9558
6.906,570.689,0.000491,5430,5427,1.571,4.438,5.614
375.441,43.732,0.354711,2274,1467,50.0,109.841,1590.9886
19.823,424.139,0.011239,23229,22967,1.106,11.707,55.2266
39.53,625.103,0.000472,31401,31386,2.973,5.565,18.813
31.16,490.517,0.002098,27507,27449,5.224,1.687,21.1934
234.277,109.065,0.062524,3418,3204,35.875,67.012,357.2092
5.45,464.498,0.002626,31427,31344,1.884,8.012,14.2864
447.397,26.214,0.337281,2304,1526,50.0,185.15,1565.1128
48.411,703.966,0.0085,31363,31096,0.896,10.731,55.5106
57.145,950.923,0.008256,13598,13485,1.627,0.438,55.9696
55.703,600.634,0.014749,12899,12708,4.906,4.534,82.184
400.4,32.69,0.384606,4693,2888,50.0,152.278,1729.0396
20.207,753.752,0.009585,17721,17551,1.683,7.218,47.8664
53.523,505.473,0.015132,23970,23607,4.919,0.185,81.9742
22.263,531.14,0.01257,17462,17242,2.718,3.993,59.9838
18.231,649.941,0.01764,9435,9268,4.949,10.882,80.0288
329.06,31.349,0.534294,4694,2186,50.0,199.026,2308.6052
485.482,33.415,0.607077,4584,1801,50.0,113.895,2645.2798
247.865,89.103,0.031322,6934,6716,19.55,129.306,250.2952
48.822,909.68,0.002881,47463,47326,2.354,18.989,34.8506
389.742,62.306,0.91041,4796,429,50.0,142.342,3826.0052
42.937,610.928,0.001719,28809,28759,2.995,14.998,27.0504
7.863,633.462,0.004985,35911,35731,4.708,8.708,24.8268
158.89,144.393,0.110484,9694,8622,15.675,135.165,532.525
27.138,563.348,0.007811,33313,33052,3.944,12.074,44.514
275.129,23.532,0.674258,3211,1045,42.906,167.139,2840.5114
449.04,56.592,0.692731,1024,314,50.0,108.515,2972.243
39.739,887.585,0.004779,7402,7366,3.155,10.869,37.1854
54.096,916.264,0.009486,38944,38574,2.864,11.148,61.812
45.901,404.268,0.00664,18462,18339,3.898,6.318,46.184
36.566,717.676,0.003893,12434,12385,0.495,3.721,30.9426
285.673,5.118,0.579466,2032,854,50.0,191.03,2470.3392
248.082,249.099,0.063141,15895,14891,26.922,135.435,378.8838
26.234,798.213,0.023343,43678,42658,1.922,2.007,104.267
254.945,22.491,0.944979,2941,161,42.099,181.628,3918.2196
30.105,950.819,0.013278,38103,37597,2.286,18.461,68.8462
38.31,482.298,0.020243,12715,12457,1.797,15.695,99.435
416.805,11.919,0.809505,741,141,50.0,166.45,3438.032
35.931,980.672,0.013591,18325,18075,2.011,1.581,69.0526
50.484,709.168,0.000746,14215,14204,2.892,18.717,26.921
37.586,593.383,0.003318,42345,42204,3.428,7.58,29.8224
10.057,532.719,0.003596,19316,19246,4.852,12.366,20.88
81.865,73.783,0.058504,12018,11314,13.482,78.33,282.428
45.595,584.506,0.005519,7877,7833,5.062,17.946,43.9032
361.156,19.452,0.857918,505,71,48.361,158.452,3607.8248
386.106,63.067,0.756426,2838,691,50.0,178.156,3215.7776
46.139,434.299,0.007761,15317,15198,0.746,10.157,51.531
6.798,534.906,0.00202,37460,37384,2.817,2.264,11.252
206.713,98.065,0.075902,19934,18420,18.805,56.322,397.5576
286.852,24.694,0.54003,3031,1394,50.0,151.768,2305.2144
16.754,683.912,0.022577,46480,45430,3.264,1.868,97.3832
59.778,680.089,0.013779,30771,30347,3.125,19.334,82.894
39.708,781.511,0.007218,25293,25110,4.942,9.633,46.6818
53.168,872.152,0.007343,7779,7721,4.921,4.914,51.622
13.673,454.841,0.002853,45968,45836,0.437,7.11,18.3032
130.112,132.991,0.08076,2909,2674,20.925,98.441,394.773
468.424,48.343,0.372899,423,265,50.0,143.783,1707.7222
24.795,561.86,0.003176,41355,41223,2.81,2.066,23.0352
29.301,823.4,0.014437,14768,14554,3.021,16.692,72.8068
15.983,624.292,0.021074,14678,14368,4.504,16.403,93.9698
480.564,48.703,0.302995,88,61,50.0,141.316,1432.4688
26.902,889.244,0.017045,23750,23345,2.054,15.617,82.0642
360.02,74.483,0.642679,3425,1223,50.0,114.435,2737.611
196.802,153.806,0.075709,19349,17884,30.73,128.769,407.3106
38.295,669.502,0.001188,49829,49769,4.383,17.252,23.5204
52.899,960.915,0.013378,40342,39802,1.414,11.952,77.062
28.816,410.135,0.008833,45524,45121,0.604,14.919,49.8422
44.338,873.446,0.001087,32413,32377,3.162,15.814,25.246
12.608,696.11,0.016912,44086,43340,0.444,7.632,74.2176
450.442,33.073,0.586517,3768,1558,50.0,151.616,2556.568
28.924,978.531,0.004616,30752,30610,3.793,14.707,32.975
36.918,972.539,0.02166,42464,41544,3.628,6.431,102.6934
128.919,349.885,0.047327,4766,4540,31.068,92.481,259.3718
26.291,713.549,0.014292,42533,41925,4.671,9.525,69.5894
375.66,1.493,0.760778,4366,1044,50.0,101.897,3213.7554
57.971,519.375,0.006043,23652,23509,2.355,13.464,50.0532
146.406,331.444,0.059439,13682,12868,17.346,101.537,316.6258
13.655,761.212,0.009816,26641,26379,3.738,9.63,46.652
48.285,533.942,0.013062,24301,23983,1.12,14.577,74.4774
52.308,834.53,0.020193,5912,5792,1.845,2.472,102.1896
13.133,757.029,0.002588,10703,10675,2.072,7.947,17.1946
30.589,572.579,0.015851,43507,42817,1.802,19.241,79.4878
13.641,460.755,0.004791,40397,40203,1.463,5.63,25.7464
53.0,744.439,0.006667,8367,8311,1.792,17.234,51.3148
48.071,969.547,0.001197,41082,41032,3.551,13.691,26.7546
216.349,245.142,0.158299,11936,10046,16.552,135.383,746.8122
35.713,734.885,0.006973,49203,48859,2.651,13.305,44.8382
56.518,484.386,0.014841,16002,15764,3.746,19.262,85.8236
46.812,793.305,0.001217,41944,41892,4.268,8.978,25.3884
266.365,2.313,0.743479,162,41,45.73,196.347,3119.7314
499.601,60.191,0.817875,2149,391,50.0,129.947,3497.3298
303.285,38.46,0.837844,2725,441,50.0,137.591,3500.2082
376.516,36.973,0.351237,3793,2460,50.0,174.596,1590.4736
58.692,865.124,0.014818,26739,26342,0.776,1.465,83.0418
50.191,802.015,0.01511,27969,27546,1.785,2.161,80.9486
277.61,4.796,0.561085,4167,1828,49.615,104.773,2376.3386
39.851,996.519,0.01358,28140,27757,2.981,0.194,70.2992
191.231,348.006,0.072479,8919,8272,14.846,61.155,378.6394
373.209,56.324,0.724219,68,18,50.0,182.112,3082.582
148.546,176.899,0.076635,10483,9679,13.002,131.457,392.2498
19.361,644.281,0.004164,12668,12615,4.208,19.134,28.2272
56.498,621.443,0.0118,35044,34630,3.739,13.946,72.5884
50.764,680.835,0.010547,32259,31918,4.618,15.885,65.6706
57.183,969.219,0.015622,45067,44362,1.676,11.311,87.6234
23.681,865.359,0.004038,36586,36438,0.818,1.351,25.8946
208.746,222.935,0.115042,5547,4908,20.691,145.603,572.787
458.129,65.731,0.663773,1949,655,50.0,177.575,2873.8586
44.022,650.616,0.007534,45509,45166,2.741,13.792,50.5032
45.449,923.645,0.004656,45540,45327,2.235,15.579,39.9194
11.636,515.551,0.001358,17133,17109,1.074,14.772,13.0408
23.046,712.205,0.002658,10959,10929,4.725,8.91,21.6324
34.901,411.718,0.003267,36763,36642,2.069,11.313,29.291
487.505,11.22,0.874299,1331,167,50.0,101.807,3712.5594
148.503,362.285,0.078082,13342,12300,16.005,109.612,393.6516
276.917,302.491,0.08791,11172,10189,23.447,61.013,474.6094
26.214,910.403,0.00964,12409,12289,0.925,14.528,51.9512
35.441,606.254,0.020191,34736,34034,1.709,5.028,95.946
9.244,906.657,0.000682,39506,39479,0.281,6.735,7.7726
26.777,889.872,0.009562,27579,27315,3.77,10.823,51.1234
445.506,43.003,0.596627,4557,1838,50.0,100.1,2584.7304
282.6,107.06,0.045121,18806,17957,31.399,133.142,320.1524
179.722,60.592,0.074119,6096,5644,19.631,84.862,385.3372
54.028,767.591,0.010044,40905,40494,2.77,3.183,62.4238
27.853,520.477,0.011429,15783,15602,1.563,16.494,60.156
43.755,788.579,0.010166,17681,17501,1.908,3.549,58.8758
350.078,66.087,0.304708,91,63,45.587,103.002,1379.4636
427.846,76.784,0.883157,2961,345,50.0,179.976,3739.7616
59.366,834.498,0.007193,27321,27124,3.62,12.277,54.9738
264.363,41.483,0.420278,3375,1956,49.838,198.96,1826.6492
43.864,735.415,0.00726,40626,40331,2.177,14.648,49.5152
31.347,452.633,0.005557,39459,39239,1.559,19.882,38.7432
41.494,426.089,0.00318,45498,45353,1.771,9.299,31.1774
